yy m d hh mm ss cccccc lat lon TV TC FloV
2006 5 10 17 9 54 699813 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 9 55 657632 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 9 58 654770 33.805042 -116.780145 1.320000 22.616779 0.000000
2006 5 10 17 9 59 657856 33.805042 -116.780145 1.320000 22.616779 0.000000
2006 5 10 17 9 59 628687 33.805038 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 2 616065 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 4 599858 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 5 561581 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 7 541786 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 8 516160 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 10 737017 33.805042 -116.780145 1.320000 22.616779 0.000000
2006 5 10 17 10 10 689129 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 13 563820 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 15 965494 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 15 153860 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 16 173767 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 16 711130 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 17 678582 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 20 414097 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 19 140794 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 20 131022 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 21 89175 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 24 65711 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 26 585573 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 27 549048 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 31 587366 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 32 534320 33.805042 -116.780145 1.310000 22.379379 0.000000
2006 5 10 17 10 37 565485 33.805051 -116.780174 1.310000 22.379379 0.000000
2006 5 10 17 10 40 505475 33.805049 -116.780186 1.310000 22.379379 0.000000
2006 5 10 17 10 41 541142 33.805049 -116.780195 1.310000 22.379379 0.000000
2006 5 10 17 10 43 811723 33.805057 -116.780206 1.310000 22.379379 0.000000
2006 5 10 17 10 44 800765 33.805057 -116.780206 1.310000 22.379379 0.000000
2006 5 10 17 10 48 356880 33.805059 -116.780221 1.310000 22.379379 0.000000
2006 5 10 17 10 47 370289 33.805050 -116.780245 1.310000 22.379379 0.000000
2006 5 10 17 10 49 330537 33.805040 -116.780245 1.310000 22.379379 0.000000
2006 5 10 17 10 53 319914 33.805029 -116.780259 1.310000 22.379379 0.000000
2006 5 10 17 10 56 373743 33.805028 -116.780260 1.310000 22.379379 0.000000
2006 5 10 17 10 53 388847 33.805005 -116.780271 1.310000 22.379379 0.000000
2006 5 10 17 10 54 36645 33.805002 -116.780271 1.310000 22.379379 0.000000
2006 5 10 17 10 55 879341 33.804998 -116.780283 1.310000 22.379379 0.000000
2006 5 10 17 10 58 357564 33.804998 -116.780283 1.310000 22.379379 0.000000
2006 5 10 17 10 59 349093 33.804998 -116.780283 1.310000 22.379379 0.000000
2006 5 10 17 10 58 545683 33.804995 -116.780288 1.310000 22.379379 0.000000
2006 5 10 17 10 59 176000 33.804985 -116.780303 1.300000 22.140710 0.000000
2006 5 10 17 11 2 161918 33.804985 -116.780303 1.300000 22.140710 0.000000
2006 5 10 17 11 3 137705 33.804985 -116.780303 1.300000 22.140710 0.000000
2006 5 10 17 11 5 981913 33.804985 -116.780297 1.300000 22.140710 0.000000
2006 5 10 17 11 10 829581 33.804984 -116.780299 1.300000 22.140710 0.000000
2006 5 10 17 11 14 445226 33.804984 -116.780299 1.310000 22.379379 0.000000
2006 5 10 17 11 10 205567 33.804977 -116.780317 1.300000 22.140710 0.000000
2006 5 10 17 11 14 164955 33.804985 -116.780311 1.290000 21.900752 0.000000
2006 5 10 17 11 17 222584 33.804989 -116.780310 1.300000 22.140710 0.000000
2006 5 10 17 11 23 941385 33.804992 -116.780307 1.300000 22.140710 0.000000
2006 5 10 17 11 27 940217 33.804992 -116.780307 1.300000 22.140710 0.000000
2006 5 10 17 11 30 125639 33.804995 -116.780301 1.290000 21.900752 0.000000
2006 5 10 17 11 30 95779 33.804833 -116.780301 1.300000 22.140710 0.000000
2006 5 10 17 11 31 124391 33.804833 -116.780301 1.300000 22.140710 0.000000
2006 5 10 17 11 34 353658 33.804833 -116.780301 1.290000 21.900752 0.000000
2006 5 10 17 11 35 367819 33.804833 -116.780301 1.300000 22.140710 0.000000
2006 5 10 17 11 36 399866 33.804833 -116.780301 1.300000 22.140710 0.000000
2006 5 10 17 11 46 434933 33.804993 -116.780291 1.290000 21.900752 0.000000
2006 5 10 17 11 47 393031 33.804993 -116.780291 1.300000 22.140710 0.000000
2006 5 10 17 11 50 586987 33.804993 -116.780291 1.300000 22.140710 0.000000
2006 5 10 17 11 54 575187 33.804989 -116.780293 1.290000 21.900752 0.000000
2006 5 10 17 11 59 516591 33.804950 -116.780320 1.290000 21.900752 0.000000
2006 5 10 17 12 7 826723 33.804932 -116.780328 1.300000 22.140710 0.000000
2006 5 10 17 12 10 519394 33.804930 -116.780329 1.300000 22.140710 0.000000
2006 5 10 17 12 16 9222 33.804928 -116.780333 1.300000 22.140710 0.000000
2006 5 10 17 12 20 61466 33.804928 -116.780333 1.300000 22.140710 0.000000
2006 5 10 17 12 21 974363 33.804926 -116.780335 1.300000 22.140710 0.000000
2006 5 10 17 12 22 947417 33.804926 -116.780335 1.300000 22.140710 0.000000
2006 5 10 17 12 24 136338 33.804925 -116.780337 1.300000 22.140710 0.000000
2006 5 10 17 12 25 87041 33.804925 -116.780337 1.300000 22.140710 0.000000
2006 5 10 17 12 27 998689 33.804924 -116.780339 1.300000 22.140710 0.000000
2006 5 10 17 12 29 798135 33.804923 -116.780341 1.300000 22.140710 0.000000
2006 5 10 17 12 33 441293 33.804923 -116.780342 1.300000 22.140710 0.000000
2006 5 10 17 12 34 447523 33.804923 -116.780342 1.310000 22.379379 0.000000
2006 5 10 17 12 35 388883 33.804922 -116.780342 1.310000 22.379379 0.000000
2006 5 10 17 12 43 278897 33.804918 -116.780345 1.310000 22.379379 0.000000
2006 5 10 17 12 44 233074 33.804918 -116.780345 1.310000 22.379379 0.000000
2006 5 10 17 12 47 161391 33.804917 -116.780345 1.310000 22.379379 0.000000
2006 5 10 17 12 49 129648 33.804916 -116.780345 1.310000 22.379379 0.000000
2006 5 10 17 12 50 957896 33.804916 -116.780345 1.310000 22.379379 0.000000
2006 5 10 17 12 53 923869 33.804915 -116.780343 1.310000 22.379379 0.000000
2006 5 10 17 12 54 911175 33.804915 -116.780343 1.310000 22.379379 0.000000
2006 5 10 17 12 55 889959 33.804915 -116.780343 1.310000 22.379379 0.000000
2006 5 10 17 12 55 923684 33.804915 -116.780343 1.310000 22.379379 0.000000
2006 5 10 17 12 57 923403 33.804915 -116.780342 1.310000 22.379379 0.000000
2006 5 10 17 12 58 935373 33.804915 -116.780342 1.310000 22.379379 0.000000
2006 5 10 17 12 59 894205 33.804915 -116.780342 1.310000 22.379379 0.000000
2006 5 10 17 12 59 894967 33.804915 -116.780342 1.310000 22.379379 0.000000
2006 5 10 17 13 1 774257 33.804916 -116.780341 1.310000 22.379379 0.000000
2006 5 10 17 13 2 785970 33.804900 -116.780341 1.310000 22.379379 0.000000
2006 5 10 17 13 3 770369 33.804900 -116.780341 1.310000 22.379379 0.000000
2006 5 10 17 13 5 778626 33.804916 -116.780340 1.310000 22.379379 0.000000
2006 5 10 17 13 6 763989 33.804916 -116.780340 1.310000 22.379379 0.000000
2006 5 10 17 13 6 775845 33.804916 -116.780340 1.310000 22.379379 0.000000
2006 5 10 17 13 7 715695 33.804916 -116.780340 1.310000 22.379379 0.000000
2006 5 10 17 13 9 746761 33.804916 -116.780340 1.310000 22.379379 0.000000
2006 5 10 17 13 10 720891 33.804917 -116.780339 1.310000 22.379379 0.000000
2006 5 10 17 13 11 761279 33.804916 -116.780338 1.320000 22.616779 0.000000
2006 5 10 17 13 12 757739 33.804916 -116.780338 1.320000 22.616779 0.000000
2006 5 10 17 13 13 749607 33.804917 -116.780338 1.310000 22.379379 0.000000
2006 5 10 17 13 15 697828 33.804918 -116.780337 1.310000 22.379379 0.000000
2006 5 10 17 13 17 205552 33.804918 -116.780337 1.310000 22.379379 0.000000
2006 5 10 17 13 18 34712 33.804918 -116.780337 1.310000 22.379379 0.000000
2006 5 10 17 13 19 11165 33.804918 -116.780337 1.310000 22.379379 0.000000
2006 5 10 17 13 18 671226 33.804833 -116.780337 1.310000 22.379379 0.000000
2006 5 10 17 13 20 667506 33.804918 -116.780336 1.310000 22.379379 0.000000
2006 5 10 17 13 21 604579 33.804918 -116.780336 1.310000 22.379379 0.000000
2006 5 10 17 13 22 428197 33.804918 -116.780336 1.310000 22.379379 0.000000
2006 5 10 17 13 24 389889 33.804918 -116.780336 1.310000 22.379379 0.000000
2006 5 10 17 13 24 388151 33.804918 -116.780335 1.310000 22.379379 0.000000
2006 5 10 17 13 25 349161 33.804918 -116.780335 1.310000 22.379379 0.000000
2006 5 10 17 13 26 348941 33.804918 -116.780335 1.310000 22.379379 0.000000
2006 5 10 17 13 28 327879 33.804919 -116.780335 1.310000 22.379379 0.000000
2006 5 10 17 13 30 342567 33.804919 -116.780334 1.310000 22.379379 0.000000
2006 5 10 17 13 31 316466 33.804920 -116.780334 1.310000 22.379379 0.000000
2006 5 10 17 13 33 714753 33.804921 -116.780333 1.310000 22.379379 0.000000
2006 5 10 17 13 34 662712 33.804921 -116.780333 1.310000 22.379379 0.000000
2006 5 10 17 13 35 578258 33.804921 -116.780333 1.310000 22.379379 0.000000
2006 5 10 17 13 36 570598 33.804921 -116.780333 1.310000 22.379379 0.000000
2006 5 10 17 13 38 490487 33.804922 -116.780332 1.310000 22.379379 0.000000
2006 5 10 17 13 40 487045 33.804923 -116.780331 1.310000 22.379379 0.000000
2006 5 10 17 13 41 421575 33.804923 -116.780331 1.310000 22.379379 0.000000
2006 5 10 17 13 41 448868 33.804923 -116.780331 1.310000 22.379379 0.000000
2006 5 10 17 13 42 445014 33.804923 -116.780331 1.310000 22.379379 0.000000
2006 5 10 17 13 43 414007 33.804924 -116.780330 1.310000 22.379379 0.000000
2006 5 10 17 13 44 432543 33.804924 -116.780330 1.310000 22.379379 0.000000
2006 5 10 17 13 48 21332 33.804924 -116.780329 1.310000 22.379379 0.000000
2006 5 10 17 13 49 9943 33.804924 -116.780329 1.310000 22.379379 0.000000
2006 5 10 17 13 47 981570 33.804924 -116.780329 1.310000 22.379379 0.000000
2006 5 10 17 13 49 993870 33.804925 -116.780328 1.310000 22.379379 0.000000
2006 5 10 17 13 50 999955 33.804925 -116.780328 1.310000 22.379379 0.000000
2006 5 10 17 13 51 965499 33.804924 -116.780327 1.310000 22.379379 0.000000
2006 5 10 17 13 53 947403 33.804924 -116.780327 1.310000 22.379379 0.000000
2006 5 10 17 13 55 934192 33.804925 -116.780327 1.310000 22.379379 0.000000
2006 5 10 17 13 57 985282 33.804926 -116.780326 1.310000 22.379379 0.000000
2006 5 10 17 13 58 954388 33.804926 -116.780326 1.310000 22.379379 0.000000
2006 5 10 17 13 59 946800 33.804926 -116.780326 1.310000 22.379379 0.000000
2006 5 10 17 13 59 968046 33.804925 -116.780326 1.310000 22.379379 0.000000
2006 5 10 17 14 3 998321 33.804926 -116.780324 1.310000 22.379379 0.000000
2006 5 10 17 14 5 2410 33.804926 -116.780324 1.320000 22.616779 0.000000
2006 5 10 17 14 6 505729 33.804926 -116.780324 1.320000 22.616779 0.000000
