problem_number,Day,mode,initial MSE,MSE,added_train_set_labels,train_point_df_initial
93,0,GP,0.4918918918918919,0.18005540166204986,[2094 3567 2544  499 2159 1134 2842  486 2670 1344 1237],[2094 3567]
93,1,GP,0.4918918918918919,0.09971509971509972,[2094 3567   98  108 1384 1932  127  312  626  955 2513 2499],[2094 3567 2544  499 2159 1134 2842  486 2670 1344 1237]
93,2,GP,0.4918918918918919,0.09064327485380116,[2094 3567  454 2031 2084 2304  343 2305 3720 2157  761],"[2094 3567 2544  499 2159 1134 2842  486 2670 1344 1237   98  108 1384
 1932  127  312  626  955 2513 2499]"
94,0,GP,0.37567567567567567,0.18457300275482094,[1694 1910 2948  777  579 1344 2565 3488 1237],[1694 1910]
94,1,GP,0.37567567567567567,0.1501416430594901,[1694 1910   98 2099  108 2250  205 1932 1896  449 1941 1905],[1694 1910 2948  777  579 1344 2565 3488 1237]
94,2,GP,0.37567567567567567,0.09037900874635568,[1694 1910 3533 2873 1343  454 2305 2031  338 2314  343  486],"[1694 1910 2948  777  579 1344 2565 3488 1237   98 2099  108 2250  205
 1932 1896  449 1941 1905]"
95,0,GP,0.2810810810810811,0.24930747922437674,[1189 3439 1014 1102 2670 1237  526 3533  761  836 2036  271],[1189 3439]
95,1,GP,0.2810810810810811,0.17045454545454544,[1189 3439 2030 1026 3720  454 1905 1934 1932  385  108],[1189 3439 1014 1102 2670 1237  526 3533  761  836 2036  271]
95,2,GP,0.2810810810810811,0.10850439882697947,[1189 3439  346 2159  913  629 2828 2499   54  208 1857 2084],"[1189 3439 1014 1102 2670 1237  526 3533  761  836 2036  271 2030 1026
 3720  454 1905 1934 1932  385  108]"
96,0,GP,0.3621621621621622,0.2369146005509642,[1353 2100 2513  765 1237 2829 2449 2099 1529],[1353 2100]
